Variant,N,Ent_F1,Attr_F1,Rel_F1,Overall_F1
ToT-gpt,243,0.5787,0.5545,0.3972,0.5101
ToT-llama,250,0.6844,0.5859,0.3933,0.5545
multi-llms-few-shot-gpt,249,0.6988,0.6605,0.407,0.5888
multi-llms-few-shot-llama,250,0.7775,0.7892,0.4377,0.6681
multi-llms-zero-shot-gpt,250,0.6935,0.6933,0.3285,0.5718
multi-llms-zero-shot-llama,250,0.7022,0.668,0.4009,0.5904
one-llm-one_llm_few_shot_gpt,250,0.7359,0.6866,0.3841,0.6022
one-llm-one_llm_few_shot_llama,249,0.7366,0.6787,0.377,0.5974
one-llm-one_llm_zero_shot_gpt,250,0.7319,0.6676,0.3406,0.58
one-llm-one_llm_zero_shot_llama,212,0.7333,0.6288,0.3335,0.5652
