prompt,llm,config,folder,n_files,R_per_E,A_per_E,nm_pct,dup_pct,pct_entities_with_attrs,pct_entities_with_keys,pct_valid_cardinality,isolated_pct
ToT,gpt,-0.5+1.0,opt_ToT_gpt_-0.5_1.0-(0.0-0.0-0.0),239,0.011,0.0,0.0,0.628,0.0,0.0,1.674,98.744
ToT,gpt,0.5+1.0,opt_ToT_gpt_0.5_1.0-(1.2-1.0-1.0),239,1.045,5.49,0.0,2.146,100.0,95.901,98.999,1.762
ToT,gpt,1.0+3.0,opt_ToT_gpt_1.0_3.0-(1.5-2.0-2.0),239,1.065,5.491,0.0,2.179,100.0,95.872,98.918,1.356
ToT,llama,-0.5+1.0,opt_ToT_llama-0.5_1.0-(0.5-0.5-0.5),249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
ToT,llama,0.5+1.0,opt_ToT_llama_0.5_1.0-(1.2-1.0-1.0),249,0.977,4.023,0.0,1.431,100.0,61.445,100.0,0.664
ToT,llama,1.0+3.0,opt_ToT_llama_1.0_3.0-(1.5-2.0-2.0),249,0.987,4.028,0.0,1.393,100.0,61.445,100.0,0.479
fewshot,gpt,-0.5+1.0,opt_fewshot_gpt_-0.5_1.0-(0.0-0.0-0.0),249,0.857,4.264,0.0,0.0,94.623,8.762,97.189,5.41
fewshot,gpt,0.5+1.0,opt_fewshot_gpt_0.5_1.0-(1.2-1.0-1.0),249,0.883,4.272,0.0,1.984,94.623,8.796,97.189,5.386
fewshot,gpt,1.0+3.0,opt_fewshot_gpt_1.0_3.0-(1.5-2.0-2.0),233,0.89,4.283,0.0,2.076,94.63,8.091,97.425,5.193
fewshot,llama,-0.5+1.0,opt_fewshot_llama-0.5_1.0-(0.5-0.5-0.5),248,0.227,0.331,0.0,0.739,7.28,7.146,35.484,68.578
fewshot,llama,0.5+1.0,opt_fewshot_llama_0.5_1.0-(1.2--0.5-1.0),247,0.784,4.117,0.0,0.0,89.575,3.102,95.547,7.355
fewshot,llama,1.0+3.0,opt_fewshot_llama_1.0_3.0-(1.5-2.0-2.0),174,0.901,4.061,0.0,2.749,95.628,18.933,91.379,8.982
zeroshot,gpt,-0.5+1.0,opt_zeroshot_gpt_-0.5_1.0-(0.0-0.0-0.0),250,0.685,4.142,0.0,0.057,97.64,7.376,77.6,25.162
zeroshot,gpt,0.5+1.0,opt_zeroshot_gpt_0.5_1.0-(1.2-1.0-1.0),224,0.675,4.157,0.0,1.158,97.768,5.722,75.0,27.534
zeroshot,gpt,1.0+3.0,opt_zeroshot_gpt_1.0_3.0-(1.5-2.0-2.0),224,0.686,4.163,0.0,1.121,97.768,5.722,75.446,27.143
zeroshot,llama,-0.5+1.0,opt_zeroshot_llama-0.5_1.0-(0.5-0.5-0.5),250,0.326,0.467,0.0,0.766,10.103,10.103,48.8,56.395
zeroshot,llama,0.5+1.0,opt_zeroshot_llama_0.5_1.0-(1.2-1.0-1.0),158,0.98,4.061,0.0,3.298,100.0,32.693,99.367,0.941
zeroshot,llama,1.0+3.0,opt_zeroshot_llama_1.0_3.0-(1.5-2.0-2.0),158,0.997,4.075,0.0,3.298,100.0,32.909,100.0,0.228
